City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,naantali,60.4674,22.0243,50.86,87,0,2.3,FI,1686448100
122,fortuna,40.5982,-124.1573,56.93,91,100,10.36,US,1686448031
123,padang,-0.9492,100.3543,80.65,76,75,2.28,ID,1686448101
124,pyu,18.4833,96.4333,82.27,79,72,7.47,MM,1686448101
125,haikou,20.0458,110.3417,78.93,100,75,4.47,CN,1686448101
126,kapuskasing,49.4169,-82.4331,46.49,81,100,10.36,CA,1686448094
127,port elizabeth,-33.918,25.5701,53.31,81,0,3.0,ZA,1686448102
128,laguna,38.421,-121.4238,79.92,50,0,10.36,US,1686448103
129,severobaykal'sk,55.65,109.3167,60.04,48,92,4.72,RU,1686448103
130,al qusayr,34.5091,36.5798,65.35,77,4,2.19,SY,1686448104
131,bhamo,24.2667,97.2333,82.2,80,76,1.03,MM,1686448104
132,yanggu,36.1106,115.7753,88.75,27,27,7.25,CN,1686448104
133,christchurch,-43.5333,172.6333,54.41,72,34,11.5,NZ,1686448058
134,uturoa,-16.7333,-151.4333,80.37,66,13,14.36,PF,1686448056
135,tikhvin,59.6451,33.5294,40.51,73,17,0.65,RU,1686448105
136,letlhakane,-21.4167,25.5833,56.39,50,0,10.02,BW,1686448105
137,okha,53.5739,142.9478,48.87,96,100,9.46,RU,1686448105
138,bandarbeyla,9.4942,50.8122,79.27,79,95,25.43,SO,1686448106
139,salekhard,66.53,66.6019,50.2,90,100,0.58,RU,1686448106
140,caiuti-sat,46.1833,26.9333,63.03,91,75,7.2,RO,1686448106
141,ulundi,-28.3352,31.4162,51.49,91,20,3.09,ZA,1686448107
142,petropavlovsk-kamchatsky,53.0452,158.6483,68.59,30,40,11.18,RU,1686447859
143,cartagena,10.3997,-75.5144,76.62,100,75,3.44,CO,1686448025
144,agat village,13.3886,144.6585,88.36,81,20,12.66,GU,1686448107
145,tromso,69.6496,18.957,49.37,76,100,1.14,NO,1686448108
146,pokhara,28.2333,83.9833,85.32,44,36,3.67,NP,1686448108
147,darwin,-12.4611,130.8418,85.89,39,0,13.8,AU,1686448034
148,ovalle,-30.5983,-71.2003,55.69,68,0,1.66,CL,1686448029
149,chegdomyn,51.1167,133.0167,75.24,52,59,5.01,RU,1686448109
150,i-n-salah,27.1935,2.4607,91.45,10,0,8.93,DZ,1686448061
151,usogorsk,63.4106,48.6872,37.94,72,24,9.71,RU,1686448110
152,kolonia,50.9333,6.95,70.83,61,0,9.22,DE,1686448110
